Site,Species,Season,Year,Brood Year,Estimate,95LB,95UB
Middle Fork,Chinook,fall,2004,2003,723,589,914
Middle Fork,Chinook,fall,2005,2004,818,698,949
Middle Fork,Chinook,fall,2006,2005,NA,NA,NA
Middle Fork,Chinook,fall,2007,2006,127,107,156
Middle Fork,Chinook,fall,2008,2007,NA,NA,NA
Middle Fork,Chinook,fall,2009,2008,8187,7267,9279
Middle Fork,Chinook,fall,2010,2009,1203,1125,1291
Middle Fork,Chinook,fall,2011,2010,2746,2306,3376
Middle Fork,Chinook,fall,2012,2011,18655,17891,19480
Middle Fork,Chinook,fall,2013,2012,16870,15664,18195
Middle Fork,Chinook,fall,2014,2013,556,397,820
Middle Fork,Chinook,fall,2015,2014,58,51,66
Middle Fork,Chinook,fall,2016,2015,10368,9255,11557
Middle Fork,Chinook,fall,2017,2016,5615,4475,7007
Middle Fork,Chinook,fall,2018,2017,5749,5395,6102
Middle Fork,Chinook,fall,2019,2018,571,409,733
Middle Fork,Chinook,fall,2020,2019,657,596,718
Middle Fork,Chinook,fall,2021,2020,10510,10261,10758
Middle Fork,Chinook,spring,2004,2002,19425,15807,24535
Middle Fork,Chinook,spring,2005,2003,19355,16525,22469
Middle Fork,Chinook,spring,2006,2004,18465,14423,24186
Middle Fork,Chinook,spring,2007,2005,13454,11366,16521
Middle Fork,Chinook,spring,2008,2006,7382,5553,9990
Middle Fork,Chinook,spring,2009,2007,30332,26924,34379
Middle Fork,Chinook,spring,2010,2008,34262,32056,36777
Middle Fork,Chinook,spring,2011,2009,12457,10461,18239
Middle Fork,Chinook,spring,2012,2010,29214,28019,30507
Middle Fork,Chinook,spring,2013,2011,32271,29088,35708
Middle Fork,Chinook,spring,2014,2012,18347,12386,27789
Middle Fork,Chinook,spring,2015,2013,6249,5489,7073
Middle Fork,Chinook,spring,2016,2014,15990,14272,17823
Middle Fork,Chinook,spring,2017,2015,22319,15130,33013
Middle Fork,Chinook,spring,2018,2016,19534,19237,19831
Middle Fork,Chinook,spring,2019,2017,1236,1106,1367
Middle Fork,Chinook,spring,2020,2018,15723,15445,16001
Middle Fork,Chinook,spring,2021,2019,26025,25657,26392
Mainstem,Chinook,fall,2004,2003,3159,2553,4060
Mainstem,Chinook,fall,2005,2004,3500,3153,3899
Mainstem,Chinook,fall,2006,2005,NA,NA,NA
